airbnb_listing_id,ad_name,bairro,listing_type,number_of_bedrooms,number_of_bathrooms,number_of_guests,adr_mediano,adr_medio,n_diarias_observadas,number_of_reviews,star_rating,guest_satisfaction_overall,is_superhost,is_professional
710148129777546948,"Apto a 50mts do mar
Mobiliado/ meia praia!",Meia Praia,apartamento,2,1.0,5,,,,0,,0,False,False
1311034965460525209,Apt itapema,Não identificado,apartamento,3,2.0,7,,,,0,,0,False,False
1306603752778852557,Quadra  mar  Meia Praia/ Itapema,Meia Praia,apartamento,3,2.0,8,,,,0,,0,False,False
982683513469295024,"Apto 403 Itapema, Cobertura beira mar",Não identificado,apartamento,2,2.0,6,,,,4,5.0,5,True,False
746451645715267085,Apartamento novo e encantador com vista para o mar,Centro,apartamento,3,3.0,9,900.0,991.4077868852459,244.0,7,5.0,5,False,False
1273217497778761783,Apartamento com 3 dormitórios 40m na quadra do mar,Não identificado,apartamento,3,2.0,8,,,,1,4.0,4,False,False
31481283,Apartamento em Prédio Frente Mar- Meia Praia,Meia Praia,apartamento,2,2.0,6,,,,48,4.809999942779541,4,True,False
47783121,Apenas 80m do mar! Imóvel perfeito para famílias.,Não identificado,apartamento,2,2.0,6,450.0,458.4162568852459,122.0,9,4.889999866485596,4,False,False
46918524,Apto Alto Padrão finamente decorado estilo Luís XV,Não identificado,apartamento,3,4.0,6,,,,0,,0,False,False
765288498172786471,Lindo apto em itapema,Morretes,apartamento,2,2.0,5,,,,2,5.0,5,True,True
1201692203719874406,Renove as energias - apto lindo!,Meia Praia,apartamento,3,4.0,4,,,,0,,0,False,False
1048753098917846841,Apartamento pé na praia,Não identificado,apartamento,2,2.0,6,,,,0,,0,False,False
841215998174695163,Apto Frente Mar em Itapema,Meia Praia,apartamento,5,5.0,10,,,,24,4.829999923706055,4,False,False
913632017573912703,Flat Alto Padrão em Meia Praia/ SC,Meia Praia,hotel,1,1.0,4,,,,3,5.0,5,False,False
15754075,"Apartamento espaçoso, arejado e bem localizado",Não identificado,apartamento,3,3.0,9,600.0,682.1801783783784,111.0,36,4.920000076293945,4,True,False
1319602504096489356,"Ap Alto Padrão
70m do mar",Não identificado,apartamento,3,4.0,6,,,,0,,0,False,False
809618994803892975,Apartamento 2 Suites Meia Praia,Meia Praia,apartamento,2,2.0,6,,,,0,,0,False,False
1274893831604199444,Casa para família aproveitar.,Não identificado,casa,2,1.0,6,,,,6,4.829999923706055,4,True,False
1318301175494168704,Itapema 313B,Não identificado,apartamento,3,2.0,8,,,,0,,0,True,False
1286265881818788094,Casa bem localizada em itapema,Não identificado,casa,2,1.0,7,,,,0,,0,False,False
1229942592150628971,Apartamento 2 quartos 6 minutos à pé da praia,Não identificado,apartamento,2,1.0,6,220.0,342.34,25.0,13,4.920000076293945,4,True,False
742505084037069302,"Apartamento na Meia Praia, 1 quadra do mar!",Meia Praia,apartamento,2,2.0,4,,,,10,4.800000190734863,4,False,False
1237182629065742198,"Apto Meia Praia, 3 quartos c/ar",Meia Praia,apartamento,3,1.0,8,,,,2,4.0,4,False,False
908830571966859122,Belo Apto Meia Praia - 80mts Mar,Meia Praia,apartamento,2,2.0,6,,,,0,,0,False,False
1294455678599538877,Apartamento em Itapema/SC,Não identificado,apartamento,2,1.0,6,,,,0,,0,False,False
1322058610737864863,Itapema 129E2 - Venha viver uma experiência única,Não identificado,apartamento,3,2.0,7,,,,0,,0,True,False
972445456500197200,(314) Casa simples para 8,Não identificado,casa,4,1.0,8,,,,8,4.75,4,True,True
41532894,"FRENTE MAR, lateral, 3 quartos, Meia Praia,Itapema",Meia Praia,apartamento,3,2.0,10,950.0,861.2321850574713,174.0,119,4.820000171661377,4,True,False
37091958,"120m da praia, 3 quartos Itapema Meia Praia",Meia Praia,apartamento,3,1.0,8,,,,23,4.829999923706055,4,False,False
1203140233522044896,Flat 1104 em Itapema,Não identificado,apartamento,1,1.0,4,506.0,471.458859009009,222.0,13,5.0,5,True,False
54167570,Cobertura duplex na quadra do mar,Não identificado,apartamento,3,3.0,15,1400.0,1402.4365482233502,197.0,8,5.0,5,False,False
